                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                  0.684,                0.38895,                0.88643,                0.73224,                0.28596,                 0.9036,                0.98275,                 0.9494,                0.99045,                0.81201,                0.66837,                0.34221,                0.88517,                0.68549,                0.25895,                  0.884,              0.0006536,              0.0006536,              0.0006536
                     71,                0.66396,                0.37241,                0.88621,                0.69897,                0.27849,                0.90803,                0.96608,                0.94928,                 0.9894,                0.82325,                0.67668,                0.33063,                0.88063,                0.68646,                0.27522,                0.87847,              0.0006338,              0.0006338,              0.0006338
                     72,                0.66484,                0.38156,                 0.8736,                0.71114,                0.28387,                0.89505,                0.96538,                0.92948,                0.98716,                0.81232,                 0.6903,                0.34316,                0.88535,                0.69594,                0.28593,                0.87441,               0.000614,               0.000614,               0.000614
                     73,                0.66294,                0.37921,                0.86791,                  0.712,                0.27917,                0.88811,                0.96619,                 0.9527,                0.99104,                0.82087,                0.65645,                0.31036,                0.87617,                0.67959,                0.25037,                0.86907,              0.0005942,              0.0005942,              0.0005942
                     74,                0.64773,                0.36961,                0.87195,                0.69798,                0.26938,                0.89235,                0.99098,                0.96667,                0.99294,                0.82326,                0.67951,                0.33443,                0.87552,                0.69921,                0.23956,                0.87677,              0.0005744,              0.0005744,              0.0005744
                     75,                  0.645,                0.37128,                0.87151,                0.69247,                0.27494,                0.89311,                0.98292,                0.95906,                  0.992,                0.82602,                0.66137,                0.33231,                 0.8701,                0.67159,                0.24168,                0.88307,              0.0005546,              0.0005546,              0.0005546
                     76,                 0.6264,                0.35951,                0.86686,                0.68019,                0.26391,                0.88481,                 0.9915,                0.97248,                0.99317,                0.82614,                0.67149,                0.32015,                0.85424,                  0.696,                0.24652,                0.85052,              0.0005348,              0.0005348,              0.0005348
                     77,                0.64019,                0.36089,                0.86375,                0.68776,                0.25696,                0.88622,                0.97476,                0.96569,                 0.9928,                0.82543,                0.65749,                0.31693,                0.85515,                0.67324,                0.24252,                0.85933,               0.000515,               0.000515,               0.000515
                     78,                0.65305,                0.35623,                0.87837,                0.69738,                0.28445,                0.90143,                0.97857,                0.98333,                0.99417,                0.81652,                0.66654,                0.31798,                0.85518,                0.69246,                 0.2299,                0.87712,              0.0004952,              0.0004952,              0.0004952
                     79,                0.64788,                 0.3562,                0.87053,                 0.7002,                 0.2613,                0.89292,                0.95971,                 0.9926,                0.99401,                  0.829,                  0.657,                0.31005,                0.87474,                 0.6738,                0.22152,                0.87209,              0.0004754,              0.0004754,              0.0004754
                     80,                0.62608,                0.35948,                0.86575,                0.67689,                0.28554,                0.88635,                0.99524,                      1,                  0.995,                0.83466,                0.64579,                 0.3094,                0.85603,                0.65043,                0.21013,                0.86618,              0.0004556,              0.0004556,              0.0004556
                     81,                0.64848,                0.35502,                0.86448,                 0.6865,                0.27159,                0.87841,                0.97887,                0.98333,                0.99442,                0.82841,                 0.6616,                0.30827,                0.85012,                0.66589,                0.21928,                0.84161,              0.0004358,              0.0004358,              0.0004358
                     82,                0.63894,                0.34907,                0.85404,                0.67411,                0.25302,                0.86893,                0.99142,                0.96265,                0.99344,                0.83806,                0.64363,                0.31682,                 0.8463,                0.64285,                0.22849,                0.84184,               0.000416,               0.000416,               0.000416
                     83,                 0.6284,                0.34837,                 0.8665,                0.66635,                0.25729,                0.87909,                0.95586,                0.99167,                0.99287,                0.84116,                 0.6433,                0.31528,                0.84802,                0.63602,                0.23753,                0.83953,              0.0003962,              0.0003962,              0.0003962
                     84,                0.63141,                0.34922,                0.87296,                0.67132,                0.24163,                0.88622,                0.97467,                0.96216,                0.99314,                0.82527,                0.65254,                0.31694,                  0.849,                0.67261,                0.23889,                0.84648,              0.0003764,              0.0003764,              0.0003764
                     85,                0.61345,                0.35041,                0.86727,                0.67341,                0.24763,                0.89416,                0.96761,                0.99569,                0.99401,                0.83835,                0.65874,                0.30164,                0.86521,                0.66503,                0.21505,                0.87077,              0.0003566,              0.0003566,              0.0003566
                     86,                 0.6039,                0.32662,                 0.8495,                0.64566,                0.23097,                0.86408,                0.98342,                0.98828,                0.99458,                0.82933,                0.65111,                0.29655,                0.87475,                0.66355,                0.22376,                0.87108,              0.0003368,              0.0003368,              0.0003368
                     87,                0.61977,                 0.3454,                0.85958,                0.66447,                0.26593,                0.87637,                0.97496,                  0.975,                0.99386,                0.82592,                0.65175,                0.28578,                 0.8708,                0.65035,                 0.2194,                0.87317,               0.000317,               0.000317,               0.000317
                     88,                0.61425,                 0.3344,                0.85597,                0.64638,                0.25603,                0.86942,                0.99496,                0.99167,                  0.995,                0.82612,                0.67164,                0.29451,                0.87233,                0.68437,                0.20547,                0.86966,              0.0002972,              0.0002972,              0.0002972
                     89,                0.60172,                 0.3326,                  0.864,                0.64433,                0.25875,                0.88184,                0.98331,                 0.9819,                0.99393,                0.82644,                0.66779,                0.29497,                0.87409,                0.69248,                0.23385,                0.87225,              0.0002774,              0.0002774,              0.0002774
                     90,                0.59344,                 0.3426,                0.85708,                0.63863,                0.26266,                 0.8724,                      1,                0.99004,                  0.995,                0.82962,                0.64053,                0.29587,                0.86898,                0.65399,                0.20379,                 0.8761,              0.0002576,              0.0002576,              0.0002576
                     91,                0.54389,                0.29184,                0.82809,                0.56421,                0.19901,                0.83898,                0.97518,                0.98229,                0.99298,                0.83862,                0.61743,                0.29863,                0.84652,                0.63428,                0.22951,                0.84202,              0.0002378,              0.0002378,              0.0002378
                     92,                0.54055,                0.28746,                0.82291,                0.56364,                0.21452,                0.83212,                0.99151,                0.97306,                0.99385,                0.83679,                0.62199,                0.28976,                 0.8477,                0.63131,                 0.2288,                0.84292,               0.000218,               0.000218,               0.000218
                     93,                0.53525,                0.27853,                0.82626,                0.54415,                0.19061,                0.83408,                0.98924,                  0.975,                0.99426,                 0.8388,                 0.6292,                 0.2954,                0.84703,                0.63667,                0.21558,                0.84307,              0.0001982,              0.0001982,              0.0001982
                     94,                0.53583,                0.28481,                0.82046,                 0.5502,                0.19588,                0.82757,                0.98333,                 0.9832,                0.99283,                0.83953,                0.61806,                0.28803,                0.84496,                0.61877,                0.21825,                0.84034,              0.0001784,              0.0001784,              0.0001784
                     95,                0.54191,                0.28116,                0.82443,                0.55028,                0.18764,                0.83353,                0.97401,                  0.975,                0.99232,                0.84243,                0.62442,                0.28235,                 0.8476,                0.63139,                0.22355,                 0.8413,              0.0001586,              0.0001586,              0.0001586
                     96,                 0.5275,                0.27627,                0.82014,                 0.5501,                0.18273,                0.83114,                0.98317,                0.97336,                0.99293,                0.82477,                0.63719,                0.28307,                0.84776,                0.63708,                0.23254,                0.83906,              0.0001388,              0.0001388,              0.0001388
                     97,                0.52929,                0.27517,                0.81827,                0.55209,                0.20603,                0.83025,                0.97477,                0.98333,                0.99417,                0.84165,                0.61362,                  0.277,                0.84133,                0.61406,                0.20828,                 0.8334,               0.000119,               0.000119,               0.000119
                     98,                0.51249,                0.27292,                0.80705,                0.53832,                0.16913,                0.81274,                0.99053,                0.98333,                0.99425,                0.83921,                0.62806,                 0.2805,                0.84509,                0.62957,                0.20753,                0.83586,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.51417,                0.26588,                 0.8199,                0.53239,                0.19605,                0.82633,                0.98347,                0.99157,                0.99416,                0.83976,                0.63288,                0.28407,                0.84706,                0.63387,                0.21539,                0.83752,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.51165,                0.27291,                0.82303,                0.53149,                 0.1743,                0.83071,                0.98328,                0.98038,                0.99341,                0.83348,                0.62776,                0.27749,                 0.8455,                0.62813,                0.22199,                0.83746,               5.96e-05,               5.96e-05,               5.96e-05
